type	lat	lon	name	desc
T	45.128480000	9.660520000		
T	45.128160000	9.661080000		
T	45.127800000	9.661730000		
T	45.127480000	9.662280000		
T	45.127230000	9.662710000		
T	45.127010000	9.663070000		
T	45.126760000	9.663470000		
T	45.126460000	9.663950000		
T	45.126270000	9.664250000		
T	45.125840000	9.664910000		
T	45.125090000	9.666030000		
T	45.124340000	9.667120000		
T	45.123670000	9.668080000		
T	45.123250000	9.668690000		
T	45.122640000	9.669560000		
T	45.121920000	9.670590000		
T	45.121160000	9.671700000		
T	45.120710000	9.672350000		
T	45.120450000	9.672710000		
T	45.119280000	9.674410000		
T	45.113310000	9.682990000		
T	45.113190000	9.683160000		
T	45.113060000	9.683340000		
T	45.112330000	9.684390000		
T	45.111920000	9.684960000		
T	45.111610000	9.685380000		
T	45.111220000	9.685910000		
T	45.110620000	9.686680000		
T	45.110080000	9.687350000		
T	45.109430000	9.688130000		
T	45.108740000	9.688930000		
T	45.108680000	9.688990000		
T	45.108060000	9.689680000		
T	45.107550000	9.690230000		
T	45.105900000	9.692020000		
T	45.105290000	9.692660000		
T	45.104320000	9.693710000		
T	45.103200000	9.694920000		
T	45.103150000	9.694960000		
T	45.101930000	9.696280000		
T	45.100990000	9.697290000		
T	45.100120000	9.698220000		
T	45.099250000	9.699150000		
T	45.098470000	9.699990000		
T	45.097260000	9.701290000		
T	45.096040000	9.702610000		
